n,th,c,pc,mc,p1c,m1c,avgAcc,avgTime,avgK,overTh,numTrials,numK
5,5,0,0.3,1,0.3,1,0.9932971428571429,12.253148571428572,12.253148571428572,both,175000,all
5,5,0,0.3,1,0.3,1,0,0,0,over,0,all
5,5,0,0.3,1,0.3,1,0.9932971428571429,12.253148571428572,12.253148571428572,exact,175000,all
5,5,0,0.3,1,0.3,1,0,0,0,both,0,0
5,5,0,0.3,1,0.3,1,0,0,0,over,0,0
5,5,0,0.3,1,0.3,1,0,0,0,exact,0,0
5,5,0,0.3,1,0.3,1,0,0,0,both,0,1
5,5,0,0.3,1,0.3,1,0,0,0,over,0,1
5,5,0,0.3,1,0.3,1,0,0,0,exact,0,1
5,5,0,0.3,1,0.3,1,0,0,0,both,0,2
5,5,0,0.3,1,0.3,1,0,0,0,over,0,2
5,5,0,0.3,1,0.3,1,0,0,0,exact,0,2
5,5,0,0.3,1,0.3,1,0,0,0,both,0,3
5,5,0,0.3,1,0.3,1,0,0,0,over,0,3
5,5,0,0.3,1,0.3,1,0,0,0,exact,0,3
5,5,0,0.3,1,0.3,1,0,0,0,both,0,4
5,5,0,0.3,1,0.3,1,0,0,0,over,0,4
5,5,0,0.3,1,0.3,1,0,0,0,exact,0,4
5,5,0,0.3,1,0.3,1,0.9920112781954887,5.0,5.0,both,2128,5
5,5,0,0.3,1,0.3,1,0,0,0,over,0,5
5,5,0,0.3,1,0.3,1,0.9920112781954887,5.0,5.0,exact,2128,5
5,5,0,0.3,1,0.3,1,0.9924861156484809,6.0,6.0,both,6122,6
5,5,0,0.3,1,0.3,1,0,0,0,over,0,6
5,5,0,0.3,1,0.3,1,0.9924861156484809,6.0,6.0,exact,6122,6
5,5,0,0.3,1,0.3,1,0.9929474262685474,7.0,7.0,both,10918,7
5,5,0,0.3,1,0.3,1,0,0,0,over,0,7
5,5,0,0.3,1,0.3,1,0.9929474262685474,7.0,7.0,exact,10918,7
5,5,0,0.3,1,0.3,1,0.9930560330010313,8.0,8.0,both,14545,8
5,5,0,0.3,1,0.3,1,0,0,0,over,0,8
5,5,0,0.3,1,0.3,1,0.9930560330010313,8.0,8.0,exact,14545,8
5,5,0,0.3,1,0.3,1,0.9934772569845302,9.0,9.0,both,17324,9
5,5,0,0.3,1,0.3,1,0,0,0,over,0,9
5,5,0,0.3,1,0.3,1,0.9934772569845302,9.0,9.0,exact,17324,9
5,5,0,0.3,1,0.3,1,0.993393189903439,14.102812936118035,14.102812936118035,both,123963,10
5,5,0,0.3,1,0.3,1,0,0,0,over,0,10
5,5,0,0.3,1,0.3,1,0.993393189903439,14.102812936118035,14.102812936118035,exact,123963,10
5,5,0.1,0.3,1,0.3,1,0.9905142857142857,12.745485714285714,11.47244,both,175000,all
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,all
5,5,0.1,0.3,1,0.3,1,0.9905142857142857,12.745485714285714,11.47244,exact,175000,all
5,5,0.1,0.3,1,0.3,1,0,0,0,both,0,0
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,0
5,5,0.1,0.3,1,0.3,1,0,0,0,exact,0,0
5,5,0.1,0.3,1,0.3,1,0,0,0,both,0,1
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,1
5,5,0.1,0.3,1,0.3,1,0,0,0,exact,0,1
5,5,0.1,0.3,1,0.3,1,1.0,5.6923076923076925,2.0,both,26,2
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,2
5,5,0.1,0.3,1,0.3,1,1.0,5.6923076923076925,2.0,exact,26,2
5,5,0.1,0.3,1,0.3,1,0.9831223628691983,5.5358649789029535,3.0,both,237,3
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,3
5,5,0.1,0.3,1,0.3,1,0.9831223628691983,5.5358649789029535,3.0,exact,237,3
5,5,0.1,0.3,1,0.3,1,0.9924033149171271,5.788674033149171,4.0,both,1448,4
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,4
5,5,0.1,0.3,1,0.3,1,0.9924033149171271,5.788674033149171,4.0,exact,1448,4
5,5,0.1,0.3,1,0.3,1,0.9941095621441194,6.182014529746711,5.0,both,5093,5
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,5
5,5,0.1,0.3,1,0.3,1,0.9941095621441194,6.182014529746711,5.0,exact,5093,5
5,5,0.1,0.3,1,0.3,1,0.9932851239669421,7.020971074380165,6.0,both,9680,6
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,6
5,5,0.1,0.3,1,0.3,1,0.9932851239669421,7.020971074380165,6.0,exact,9680,6
5,5,0.1,0.3,1,0.3,1,0.9924886621315193,8.00141723356009,7.0,both,14112,7
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,7
5,5,0.1,0.3,1,0.3,1,0.9924886621315193,8.00141723356009,7.0,exact,14112,7
5,5,0.1,0.3,1,0.3,1,0.9919241573033708,9.008251404494382,8.0,both,17088,8
5,5,0.1,0.3,1,0.3,1,0,0,0,over,0,8
5,5,0.1,0.3,1,0.3,1,0.9919241573033708,9.008251404494382,8.0,exact,17088,8
5,5,0.1,0.3,1,0.3,1,0.9919645331116653,10.022610141313383,9.0,both,18045,9
